Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
eBay,—,10001+,"eBay is an online marketplace. The platform connects millions of buyers with sellers globally utilizing PayPal to ensure secure transactions. eBay products can be sold either via a silent auction in which users are able to input the maximum price they are willing to pay and for which the site will automatically increase bids as necessary up to that maximum, or via the Buy It Now feature that enables its users to purchase items at a set price. Its featured products are categorized as fashion, hope and garden, electronics, motors, collectibles, antiques and visual art, stationery, electronics, and more. eBay was founded in September 1995 by Pierre Omidyar in San Jose, California.","San Jose, California, United States","Sep 1, 1995","Auctions, E-Commerce, Internet,,",eBay is an online marketplace that connects a global network of buyers and sellers.,"Nov 7, 2022",Post-IPO Debt,"$1,150,000,000","Benchmark, Maveron",$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
Protocol Labs,—,101-250,"Protocol Labs is a research, development, and deployment lab for network protocols. Protocol Labs creates software systems that tackle significant challenges, aiming to solve them with new technology breakthroughs, great user experience design, and an open-source approach to creation.","San Francisco, California, United States",2014,"Information Technology, Internet,,,","Protocol Labs is a research, development, and deployment lab for network protocols.","Sep 6, 2017",Venture - Series Unknown,—,"Sequoia Capital, Andreessen Horowitz,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
Animoca Brands,—,101-250,"Animoca Brands, a Deloitte Tech Fast winner and ranked in the Financial Times list of High Growth Companies Asia-Pacific 2021, is a leader in digital entertainment, blockchain, and gamification that is working to advance digital property rights and contribute to the establishment of an open metaverse. The company develops and publishes a broad portfolio of products including the REVV token and SAND token; original games including The Sandbox, Crazy Kings, and Crazy Defense Heroes; and products utilizing popular intellectual properties including Disney, WWE, Snoop Dogg, The Walking Dead, Power Rangers, MotoGP™, and Formula E. It has multiple subsidiaries, including The Sandbox, Blowfish Studios, Quidd, GAMEE, nWay, Pixowl, Forj, Lympo, Grease Monkey Games, Eden Games, Darewise Entertainment, Notre Game, and TinyTap. Animoca Brands has a growing portfolio of more than 340 investments, including Colossal, Axie Infinity, OpenSea, Dapper Labs (NBA Top Shot), Yield Guild Games, Harmony, Alien Worlds, Star Atlas, and others. For more information visit www.animocabrands.com.","Cyberport, Hong Kong Island,",2014,"Apps, Blockchain, Casual Games,,",Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.,"Sep 22, 2022",Secondary Market,"$16,000,000","Cosmic Summit Investments,,,,",$500M to $1B,—,Asia-Pacific (APAC)
WeWork,—,5001-10000,"WeWork is a platform for creators that transforms buildings into dynamic environments for creativity, focus, and collaboration. The company transforms buildings into beautiful, collaborative workspaces and provides infrastructure, services, events, and tech so their members can focus on doing what they love. It was founded in 2010 and is headquartered in New York.","New York, New York, United States",2010,"Commercial Real Estate, Coworking,,","WeWork is a platform for creators that transforms buildings into dynamic environments for creativity, focus, and collaboration.","Jan 3, 2023",Post-IPO Debt,"$250,000,000","JP Morgan Chase, SoftBank, Goldman Sachs,,",$100M to $500M,Women Founded,"Greater New York Area, East Coast,"
European Bank for Reconstruction and Development,—,1001-5000,"The European Bank for Reconstruction and Development was established in 1991 when communism was crumbling in central and eastern Europe and ex-soviet countries needed support to nurture a new private sector in a democratic environment. Today the EBRD uses the tools of investment to help build market economies and democracies in countries from central Europe to central Asia. The EBRD is the largest single investor in the region and mobilises significant foreign direct investment beyond its own financing. It is owned by 61 countries and two intergovernmental institutions. But despite its public sector shareholders, it invests mainly in private enterprises, usually together with commercial partners. It provides project financing for banks, industries and businesses, both new ventures and investments in existing companies. It also works with publicly owned companies, to support privatisation, restructuring state-owned firms and improvement of municipal services. The Bank uses its close relationship with governments in the region to promote policies that will bolster the business environment. The mandate of the EBRD stipulates that it must only work in countries that are committed to democratic principles. Respect for the environment is part of the strong corporate governance attached to all EBRD investments.","London, England, United Kingdom",1991,"Banking, Finance, Financial Services,",European Bank for Reconstruction and Development is an investing firm.,"Feb 14, 2020",Debt Financing,"€20,000,000",—,$1B to $10B,—,—
Cyble,—,101-250,"Cyble provides capabilities for customers to manage cyber risks with AI-powered actionable threat intelligence. They are specialists in gathering intelligence across the Deepweb, Darkweb and Surface Web.","Alpharetta, Georgia, United States",2019,"Artificial Intelligence, Cloud Security,,",World's fastest-growing threat intelligence provider (YC W21).,"Feb 22, 2022",Series A,"$10,000,000","Y Combinator, Blackbird Ventures,,,",Less than $1M,—,"Greater Atlanta Area, East Coast,"
Bitcoin,—,101-250,Bitcoin is a cryptocurrency company.,"San Francisco, California, United States",2008,"Bitcoin, Communications Infrastructure,,",Bitcoin is a cryptocurrency company.,"Nov 30, 2020",Venture - Series Unknown,"$14,086,804","Ed King, Larry Zhao, Kadda Sheekoff",Less than $1M,—,"San Francisco Bay Area, West Coast,"
Okta,Yes,1001-5000,"Okta is the provider of identity for the enterprise. The Okta Identity Cloud connects and protects employees of many of the world's largest enterprises. It also securely connects enterprises to their partners, suppliers, and customers. With deep integrations to over 5,000 apps, the Okta Identity Cloud enables simple and secure access from any device. Okta helps customers fulfill their missions faster by making it safe and easy to use the technologies they need to do their most significant work.","San Francisco, California, United States","Jan 1, 2009","CRM, Enterprise Software, Identity Management,,,,",Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.,"Jun 8, 2020",Post-IPO Equity,"$1,000,000,000","Sequoia Capital, Andreessen Horowitz,,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Arloid Automation,—,51-100,"We resolve energy inefficiency in real estate. Arloid Automation is a global leader in AI-based solutions designed to simplify MEP (mechanical, electrical and plumbing engineering) systems management for a broad portfolio of real estate. Our unique algorithm combines the power of Deep Reinforced Learning and Digital Twin technologies enabling real estate management companies to meet their financial and sustainability objectives. Simple to deploy and intuitive to manage, arloid.ai solution, in real-time, intelligently and precisely adjusts HVAC systems settings resulting in up to 40% reduction in utility consumption bills and carbon footprint. With zero CAPEX and no additional hardware installation, our risk-free and proven technology delivers measurable results in under 60 days. Headquartered in London, UK, Arloid Automation has representative offices in Dubai and Singapore as well as a developed international partner network.","London, England, United Kingdom","Nov 4, 2019","Artificial Intelligence, Energy Efficiency,,,,,",The ultimate AI solution for energy efficiency,"Jan 1, 2022",Pre-Seed,"$8,018,000",Ruvento,—,—,—
Uniswap,—,101-250,Uniswap is the largest decentralized exchange (or DEX) operating on the Ethereum blockchain. It allows users anywhere in the world to trade crypto without an intermediary.,"New York, New York, United States","Nov 2, 2018","Blockchain, Cryptocurrency, Ethereum,,",Uniswap is a decentralized exchange platform operating on the Ethereum blockchain.,"Oct 13, 2022",Series B,"$165,000,000","Andreessen Horowitz, Polychain,,,",—,—,"Greater New York Area, East Coast,"
